date,count,mean,std,min,5%,50%,95%,max
2021-01-01,7.0,0.949524,0.031702,0.912417,0.917284,0.946156,0.996463,1.008222
2021-01-02,7.0,0.960268,0.038705,0.919207,0.922037,0.946215,1.01754,1.030699
2021-01-03,7.0,0.971967,0.04458,0.918024,0.923239,0.964995,1.034508,1.047051
2021-01-04,7.0,0.978383,0.042645,0.918566,0.921795,0.984776,1.024285,1.026383
2021-01-05,7.0,0.979778,0.041382,0.919182,0.92032,1.000756,1.015392,1.019389
2021-01-06,7.0,0.9762,0.042204,0.91632,0.917386,0.988569,1.016753,1.021333
2021-01-07,7.0,0.967216,0.042478,0.909312,0.912712,0.971305,1.017302,1.021333
2021-01-08,7.0,0.953693,0.038223,0.904273,0.909443,0.954047,1.002525,1.007897
2021-01-09,7.0,0.941652,0.032098,0.901644,0.905219,0.936573,0.984699,0.989992
2021-01-10,7.0,0.931474,0.028943,0.880522,0.891963,0.931243,0.967067,0.972351
2021-01-11,7.0,0.926346,0.02316,0.889591,0.893899,0.936924,0.950507,0.954739
2021-01-12,7.0,0.926062,0.021189,0.90395,0.904362,0.91867,0.953379,0.954565
2021-01-13,7.0,0.930629,0.025071,0.903669,0.906285,0.922737,0.967362,0.970034
2021-01-14,7.0,0.940265,0.030189,0.903669,0.906198,0.940268,0.981967,0.986188
2021-01-15,7.0,0.954353,0.031403,0.912097,0.916127,0.955769,0.99585,1.00114
2021-01-16,7.0,0.968264,0.02929,0.92553,0.929893,0.972151,1.002557,1.005977
2021-01-17,7.0,0.981748,0.026526,0.940073,0.944741,0.98925,1.007577,1.009096
2021-01-18,7.0,0.993391,0.022099,0.955633,0.960568,1.004556,1.011894,1.012205
2021-01-19,7.0,1.002723,0.016529,0.972081,0.977232,1.006131,1.015942,1.016049
2021-01-20,7.0,1.009598,0.011833,0.989252,0.993863,1.006131,1.022036,1.022523
2021-01-21,7.0,1.013895,0.011077,1.004622,1.004631,1.006194,1.028219,1.029295
2021-01-22,7.0,1.01567,0.01378,1.003919,1.004139,1.006194,1.034318,1.035975
2021-01-23,7.0,1.015564,0.015736,1.003188,1.003407,1.00544,1.038473,1.039914
2021-01-24,7.0,1.012737,0.014173,1.002459,1.002678,1.00469,1.034713,1.037471
2021-01-25,7.0,1.007653,0.009577,1.001047,1.001238,1.0032,1.023057,1.026713
2021-01-26,7.0,1.001698,0.006475,0.994322,0.994687,1.001147,1.010883,1.014175
2021-01-27,7.0,0.99505,0.006898,0.986996,0.987297,0.995538,1.002308,1.002459
2021-01-28,7.0,0.987669,0.009076,0.97495,0.976364,0.989369,0.999383,1.001036
2021-01-29,7.0,0.979635,0.011077,0.961871,0.965052,0.978011,0.993677,0.995527
2021-01-30,7.0,0.971881,0.012802,0.950493,0.955165,0.970742,0.98751,0.989361
2021-01-31,7.0,0.965821,0.011878,0.950089,0.951595,0.964396,0.981334,0.983193
2021-02-01,7.0,0.961058,0.010092,0.950634,0.95092,0.959058,0.975119,0.976995
2021-02-02,7.0,0.957502,0.008734,0.94715,0.947287,0.959058,0.968836,0.970739
2021-02-03,7.0,0.955172,0.009348,0.941017,0.941776,0.95906,0.963971,0.964394
2021-02-04,7.0,0.954083,0.012128,0.934193,0.935878,0.959058,0.964838,0.965633
2021-02-05,7.0,0.954489,0.015221,0.929842,0.931669,0.96042,0.967546,0.968366
2021-02-06,7.0,0.957441,0.014705,0.931889,0.934977,0.962985,0.970335,0.971179
2021-02-07,7.0,0.961105,0.014778,0.930146,0.938578,0.965636,0.9732,0.974066
2021-02-08,7.0,0.967135,0.011851,0.943568,0.948526,0.971179,0.976783,0.977456
2021-02-09,7.0,0.97425,0.011848,0.960106,0.960226,0.974066,0.990082,0.992883
2021-02-10,7.0,0.982118,0.015754,0.960122,0.964307,0.978368,1.004801,1.011055
2021-02-11,7.0,0.990683,0.021383,0.960143,0.965339,0.990208,1.019735,1.02949
2021-02-12,7.0,0.999316,0.026482,0.960169,0.967182,0.996974,1.035936,1.044468
2021-02-13,7.0,1.005428,0.026388,0.962405,0.970743,1.003815,1.037606,1.038583
2021-02-14,7.0,1.012727,0.023782,0.978223,0.983843,1.010694,1.045458,1.052277
2021-02-15,7.0,1.018482,0.018835,0.99696,0.999009,1.017577,1.045944,1.055198
2021-02-16,7.0,1.023918,0.015652,1.010661,1.011146,1.017577,1.048214,1.055759
2021-02-17,7.0,1.029294,0.016494,1.003918,1.008003,1.030611,1.050411,1.056287
2021-02-18,7.0,1.034543,0.020886,0.995669,1.004262,1.0367,1.056266,1.056785
2021-02-19,7.0,1.039937,0.026358,0.989718,1.001986,1.042667,1.069061,1.074122
2021-02-20,7.0,1.046553,0.02744,0.997262,1.009108,1.048488,1.079522,1.08888
2021-02-21,7.0,1.050068,0.022436,1.00718,1.017855,1.054138,1.074701,1.081174
2021-02-22,7.0,1.052115,0.017173,1.017168,1.026607,1.054138,1.068476,1.070443
2021-02-23,7.0,1.0531,0.013241,1.027151,1.032231,1.059597,1.063413,1.063886
2021-02-24,7.0,1.053029,0.011536,1.037053,1.037185,1.059828,1.063413,1.063886
